name,id,homepage,description,license,platforms,export_cs_fmi1,export_cs_fmi2,export_me_fmi1,export_me_fmi2,import_cs_fmi1,import_cs_fmi2,import_me_fmi1,import_me_fmi2
Simulation Workbench (SimWB),SimWB,https://wiki.simwb.com/,"SimWB is an open, powerful framework to run SIL, HIL, and MIL simulations under Concurrents hard real-time RedHawk OS that runs on COTS hardware",commercial,win64,,,,,available,available,,
SimulationX,SimulationX,https://www.simulationx.com/simulation-software/experts/fmi-simulation.html,"Multi-domain simulation tool for design, analysis and virtual prototyping of complex systems developed by ESI ITI GmbH",commercial,c-code win32 win64,available,available,available,available,available,available,available,available
SIMULIA Simpack,SIMPACK,https://www.3ds.com/products-services/simulia/products/simpack/,High-end multi-body simulation software from DASSAULT SYSTEMES,commercial,linux64 win64,available,available,,,available,available,available,available
Simulix,simulix,https://github.com/kvixen/Simulix,FMU builder for Simulink models (based on Simulink Coder),osi,c-code linux32 linux64 win32 win64,,available,,planned,,,,
Squish GUI Tester,Squish,https://squish.froglogic.com,"Squish is a GUI Test Automation Tool. As an FMU importer, Squish test scripts can access all variables exposed by a FMU and is responsible for driving the simulation process",commercial,win64,,,,,,available,,
Sulca,Sulca,https://www.simantics.org/demonstration/sulca,"SULCA software is a tool for Ecodesign and for performing Life Cycle Assessments (LCA).",commercial,win64,available,,,,,,,
SystemModeler,SystemModeler,https://www.wolfram.com/system-modeler,Modelica environment from Wolfram Research,commercial,win32 win64,planned,planned,available,available,planned,planned,available,available
TAITherm,TAITherm,https://www.thermoanalytics.com/taitherm,"3D Thermal Simulation Software that can be coupled with CFD, FEA, and 1D tools",commercial,linux64 win64,,available,,,available,available,,
Test-FMUs,Test-FMUs,https://github.com/CATIA-Systems/Test-FMUs,"A set of open source FMUs for prototyping, testing and debugging provided by Dassault Systèmes",osi,c-code darwin64 linux64 win64,available,available,available,available,,,,
TLK Energy Apps,tlk-energy-apps,https://apps.tlk-energy.de,"Plattform to build web-based simulation apps",commercial,linux64 win64,,,,,,available,,
TLK FMI Suite,TLK_FMI_Suite,https://www.tlk-thermo.com/,TLK FMI Suite provides LabVIEW and Simulink blocks for FMU simulation,commercial,win64,,,,,available,,available,
TLK TISC Suite,TLK_TISC_Suite,https://www.tlk-thermo.de,Co-simulation environment from TLK-Thermo,commercial,win64,,,,,available,,available,
TPT,TPT,https://piketec.com/,Test tool to test and verify embedded control software in all phases of software development,commercial,win32 win64,,,,,,available,,
TRNSYS FMU Export Utility,TRSYS-FMU,https://trnsys-fmu.sourceforge.net,A stand-alone tool for exporting FMUs for Co-Simulation from TRNSYS models,commercial,win64,available,available,,,,,,
TWT Co-Simulation Framework,TWT_CoSim_Framework,https://www.twt-gmbh.de/en/produkte/co-simulation/cosimlab.html,"Communication layer tool to flexibly plug together models for performing a co-simulation; front-end for set-up, monitoring and post-processing included",commercial,win64,available,,,,available,,,
TWT FMU Trust Centre,TWT_FMU_TrustCentre,https://www.twt-gmbh.de/en/produkte/co-simulation/functional-mock-up-trust-centre.html,Cryptographic protection and signature of models including their safe PLM storage; secure authentication and authorization for protected (co-)simulation,commercial,win64,available,,,,,,,
Typhoon HIL,Typhoon_HIL,https://www.typhoon-hil.com/,Model based test solutions for Digital Power,commercial,c-code win64,,planned,,,,planned,,
VALDYN,VALDYN,https://www.ricardo.com/en-GB/What-we-do/Software/Products/VALDYN/,"Multi-body dynamic and kinematic simulation for valvetrain, powertrain and transmission systems from Ricardo Software",commercial,win64,available,planned,,,,,,
VenetDCP,VenetDCP,https://www.toshiba-sol.co.jp/en/industry/venetdcp/index.htm,VenetDCP is a distributed co-simulation platform  which enables to connect various models and tools over the internet and compose a cyberspace for integrated simulation test,commercial,win64,,available,,,,,,
Virtual Engine,Virtual_Engine,https://virtualengine.fev.com/,"Multibody dynamics simulation software for internal combustion engines, transmissions and their components from FEV",commercial,win64,available,available,,planned,available,available,,planned
VOLTA,VOLTA_ESTECO,https://www.esteco.com/volta,VOLTA is a web platform for multidisciplinary business process optimization and simulation data management,commercial,c-code win32 win64,available,planned,,,,,,
WAVE-RT,WAVE_RT,https://www.ricardo.com/en-GB/What-we-do/Software/Products/WAVE-RT/,"Real-time, crank-angle resolved engine simulation tool for testing new engine management systems in SiL, HiL, and rapid-prototyping from Ricardo Software",commercial,win64,available,planned,,,,,,
WinMOD System,WinMOD FM200,https://www.winmod.de/english/products/co-simulation/,WinMOD CoSimulations extend the capabilities of WinMOD Systems by combining them with simulation tools from other manufacturers.,commercial,win32 win64,,,,,available,available,,
XFlow,XFlow,https://www.xflowcfd.com/,"Computational Fluid Dynamics (CFD) code which uses a particle-based kinetic solver based on the Lattice-Boltzmann Method, thus avoids the meshing process and allows complex fluid-structure interaction including through FMI standard co-simulation",commercial,win64,available,,,,,,,
xMOD,xMOD,https://www.xmodsoftware.com/,Heterogeneous model integration environment & virtual instrumentation and experimentation laboratory from IFPEN distributed by D2T,commercial,win32 win64,,,,,available,available,available,available
XRG Score,XRG_Score,https://www.xrg-simulation.de/en/products/applications/score,"Excel COM add-in for FMU multi-physics simulations and Dymola remote control",commercial,win32 win64,,,,,,available,,
YAKINDU Statechart Tools,YAKINDU_STATECHART_TOOLS,https://www.itemis.com/en/yakindu/state-machine/documentation/user-guide#lab_projects_fmu_codegen,"YAKINDU Statechart Tools supports the development of systems based on the concept of statecharts. It supports visual editing, interactive validation, and simulation of statecharts. Code generators translate the statecharts to state machine implementations for different target languages and platforms.",commercial,darwin64 linux64 win64,,available,,,,planned,,
